,set,mu,qs,mu_max,X_max,Yxs,m_s,rmse
24,24,1,3,0.27182559751997065,24.570493202881696,0.397072188381289,0.8928856211239081,25.493
97,97,1,3,0.2667595356668642,18.36810854262414,0.4737473973743588,1.3342314807987883,25.536
92,92,1,3,0.21944961188628095,18.86067530798363,0.4701065583414733,1.4515782707914944,25.721
12,12,1,3,0.23325585809355576,21.143512394525352,0.4197283521585329,1.2155516617227886,25.728
49,49,1,3,0.22387582839988363,19.469870863411906,0.306267030948959,1.3764735049904666,25.849
78,78,1,3,0.34622751284896436,16.845894328515275,0.46423533320429367,1.4811679528868695,25.864
76,76,1,3,0.3394785186092497,17.127062140358174,0.3453640336813772,1.4304088798235146,25.875
67,67,1,3,0.3572120938475557,19.974763167853435,0.4108691209250599,1.1705569249394376,25.903
43,43,1,3,0.4424347912009023,16.705527814201698,0.480355832018341,1.4937070420195226,25.922
26,26,1,3,0.22567967206288017,22.528961567640923,0.4131802416189194,1.2347933476688793,25.966
10,10,1,3,0.20830303729526828,24.059383816787495,0.37762216343038285,1.309666801560545,25.984
93,93,1,3,0.3517145232902572,18.4949312760517,0.3584783168299003,1.469159866103914,25.992
3,3,1,3,0.40523907647979396,20.12087541004494,0.3316334061208602,1.1297848284027094,26.003
0,0,1,3,0.3309312993969874,19.782124166817486,0.30326763139870894,1.2175693453394212,26.005
84,84,1,3,0.2446874274054332,22.443457284731597,0.43136418195256016,1.2922511805607113,26.062
58,58,1,3,0.41765619297237977,19.577181641431263,0.405927821473073,1.2560426922441077,26.066
5,5,1,3,0.3845549886667543,22.938227739723285,0.47539011049617436,0.9959134305409905,26.079
6,6,1,3,0.47602202266755544,18.725573996621957,0.30101702254759893,1.385918586127602,26.105
9,9,1,3,0.430537631791185,20.449521709011737,0.460645821082019,1.1888683886922817,26.13
46,46,1,3,0.42477395211921254,21.24018907527363,0.45608785066966784,1.362508266959586,26.243
11,11,1,3,0.28487762014911455,23.66225658105121,0.371797381600347,1.1731259942547703,26.254
99,99,1,3,0.3827723719549735,21.904634304319742,0.4992072256563983,1.4228102587883398,26.267
55,55,1,3,0.38919586164784753,24.855767390256197,0.4452133502689563,0.9234664543371582,26.375
8,8,1,3,0.4756619930296426,22.143201667525226,0.3739720844120793,1.2858287960174155,26.39
13,13,1,3,0.3281216605010636,23.939559336372383,0.3224463377892005,1.407801166984339,26.405
66,66,1,3,0.4902121861043564,23.47388857458253,0.3150761571885006,1.0489100893859817,26.524
