,set,qs,Yxs,qs_max,Ks,Ki,m_s,lag,rmse
11,3,2,0.35224619653621814,0.8283687366142354,15.195011833333817,10.51959907933832,0.4579396252863603,0.49606179472025524,7.06
170,56,2,0.49507008121390755,1.0167999522723747,8.11388757988613,3.5403268628193407,0.18512401677065402,0.24099188430557314,7.068
86,28,2,0.3295937914345397,1.1442495300692161,12.322805563733166,11.142955557382223,0.469192005516724,0.4779487221881914,7.173
227,75,2,0.39930415061693053,0.9574891600949476,5.7504429597268665,10.84488698960437,0.4396588238247959,0.46915317667021866,7.199
299,99,2,0.4659943658711894,0.7815114981517699,4.2776968205332215,8.2385274393035,0.3217268024078386,0.8834932082014717,7.268
119,39,2,0.48083726511470076,0.8329377414933261,14.37994526936313,1.2251822358705293,0.04096198325613028,0.337273870248411,7.285
47,15,2,0.44824518861001794,0.6457119201732165,11.419324284963173,10.145543180483802,0.09953438067733565,0.3138205132265136,7.292
143,47,2,0.3514689682679233,0.6987183282815405,12.429191134799439,13.419356442209446,0.49353875692448734,0.30110971269554776,7.327
188,62,2,0.3948463623218639,0.5672249630153777,5.012568325134604,5.237880154773583,0.4835968105823835,0.8051012905935737,7.334
68,22,2,0.3753576268704434,0.7070455351456642,10.86385549812088,8.972480515129359,0.24554938761716125,0.4869616162267287,7.424
8,2,2,0.31762654018792436,0.8545750007712853,6.569224446986761,13.040937542873241,0.2437176538771817,0.6547857773404432,7.443
212,70,2,0.4596650475314876,0.577669977109055,5.974222076744461,14.546325815443158,0.2753650839500384,0.6115459677994177,7.465
137,45,2,0.4219670662477633,0.5592052116874467,6.795704074351423,15.915858971040603,0.3894825716566393,0.6894438603058257,7.477
83,27,2,0.4474644377693682,0.5059353894775919,14.7063194753882,2.0274175997370145,0.16455389846287374,0.23256053508436805,7.502
242,80,2,0.4761714676848892,0.606579468826159,13.492931001755592,5.418055781160028,0.40149170961498243,0.6642371229536599,7.519
23,7,2,0.36696161726347715,0.5124337956089967,15.339954330893004,13.833957437835908,0.21811196111513156,0.18412986803623443,7.531
200,66,2,0.4561673110686569,0.945542806332065,1.140803360076188,5.986121159980346,0.1413315726888845,0.8231000400667791,7.54
14,4,2,0.4544445446242909,0.6861312056037119,10.73246234370897,7.392318885734511,0.44636025999026585,0.2982672879640489,7.587
197,65,2,0.429823573705994,1.1212447734935505,11.853923136475414,14.691604893909151,0.29748589211319054,0.9821220655757648,7.623
2,0,2,0.34059875402565076,1.1035624537445434,14.331028005891746,9.64199000480651,0.027776672810292835,0.43708353291462837,7.63
113,37,2,0.3039588413757534,1.331156835491908,1.3247798388810774,3.5792861881338522,0.15130877249022448,0.9916421012309576,7.634
263,87,2,0.31439861519245427,0.6165250187538139,5.484030021781133,5.936027851797238,0.4711683325394079,0.8929363601702898,7.694
53,17,2,0.31003337674924697,1.4815701550555667,13.227829079614589,9.43300855656488,0.21157288283215958,0.9708074427127232,7.883
35,11,2,0.3857549288696913,0.5376300931850144,13.317352126501541,12.10956633568109,0.4274615234004926,0.7173890059568698,8.02
281,93,2,0.4092295518517785,0.9726482042748987,13.770632931986087,3.369649083540925,0.2034583675590128,0.7952805608787868,8.026
134,44,2,0.49741952891500407,0.7499684803872542,14.591222987475009,13.645219144865367,0.3025555716237561,0.9037436320815091,8.081
218,72,2,0.3906801775454559,0.5272729951202948,15.032383689954282,13.933427172580327,0.3745372909549318,0.6066056331175429,8.097
62,20,2,0.4723384307318331,0.881875842436594,5.234850857099171,8.142370025226903,0.11059507683626763,0.7648573218096999,8.1
233,77,2,0.4127836654365184,0.7392752095683346,7.443961047418414,7.224471299166274,0.10683019629900756,0.5887785153096663,8.107
98,32,2,0.3396446363453102,0.7662606279391333,9.247682533208794,6.865688966870463,0.351516298574166,0.1910903565703315,8.33
254,84,2,0.3894190915113287,0.5488638052459781,4.456497672751793,12.949134496785392,0.28784650703208264,0.9529544728292269,8.413
65,21,2,0.44011113974111454,0.7581800066172346,15.975151493334277,2.2881836449107746,0.26762700087288044,0.9392778473795679,8.479
146,48,2,0.37338221844777064,0.7942637985966401,4.423549243881522,1.4579745372603266,0.11976771778498722,0.8307953957947315,8.498
245,81,2,0.47060394823150403,0.8981424318052055,10.584704302424612,3.8778555377853965,0.06565732367034449,0.7205884070500546,8.629
257,85,2,0.4184432242848418,0.8622605663675142,10.963583312129845,15.628227275185344,0.08338520431095779,0.750621194742945,8.723
26,8,2,0.40615159482073426,1.4088724051736539,8.301852316773003,10.996274486495912,0.34159495582191146,0.34870689405892735,8.738
71,23,2,0.36069432153595987,0.9674917652933251,15.474708069431328,4.842179732208782,0.07395025539641256,0.7083770970258433,8.75
5,1,2,0.4538195952424593,1.158090121648674,3.9053776979191346,15.83241641214458,0.016437983047388995,0.8676575488524085,8.825
74,24,2,0.3547065908253436,1.21010180015513,7.572587692386501,7.88280548151967,0.03942877218401747,0.9174373501863583,8.849
161,53,2,0.4881446631484876,0.9950328124562549,6.999395694922683,7.499333092517372,0.0764707761336352,0.9686108958555024,8.862
20,6,2,0.37668278432323676,0.6215581757902605,8.560116637365404,2.192009631359973,0.0605770009972195,0.05912516816030221,8.864
230,76,2,0.33665786799392206,1.0425870134333046,5.8231658074653945,6.351536559689782,0.05665605793112824,0.9414343813491048,8.911
92,30,2,0.36806127131804184,0.6703116012677138,11.2630276566006,1.6515793783145427,0.05060360166824472,0.5499319350850946,8.915
110,36,2,0.4366882288262375,1.095934861808059,5.562817078492019,6.243076388906329,0.10395605882579904,0.15841268688785326,8.925
101,33,2,0.4670815588820389,0.6366723061324521,15.712489731178799,12.031604447127194,0.4323776251646798,0.16220787127925143,9.065
152,50,2,0.36528489206986076,0.9157632592598646,12.652054832648858,1.430340626381495,0.030539137609230747,0.7373901157030055,9.098
260,86,2,0.4620481107059916,0.9827804059371925,8.412223099857044,8.452320529296223,0.005663533236337304,0.8728685948275483,9.343
131,43,2,0.35713191595331006,0.5809743584483228,14.192165452395107,9.268793515456453,0.12145619774265684,0.7431457762806448,9.362
155,51,2,0.49113761506492126,1.1922607615009213,12.136879123244007,13.246731383494176,0.47701435759319144,0.3770789271972197,9.419
107,35,2,0.4000537691409373,1.3476100297128295,15.597522734998373,2.563101022963359,0.09282081736397303,0.13359988316580745,10.26
22,7,1,0.36696161726347715,0.5124337956089967,15.339954330893004,13.833957437835908,0.21811196111513156,0.18412986803623443,10.305
