,set,mu,qs,mu_max,X_max,Ks,Ks_qs,Ki,Yxs,qs_max,m_s,lag,rmse
45,6,3,3,0.21622277026728454,21.648463158239572,4.0332137115584175,2.4588673171381097,6.505050650538087,0.4336559608929166,1.0644288156720525,0.13960221196275932,0.05701926043742497,30.024
606,86,4,0,0.20004108604553852,16.097571247862707,0.9663080225563488,17.890276182331643,7.074532877279438,0.49596279906679364,0.9995475769245004,0.15265904862846486,0.007370639636105904,30.032
654,93,3,3,0.41699782363844584,17.153589221363713,10.858513822997182,18.65226367787207,6.831624414210004,0.3648342590950837,1.266148232493364,0.005410551253069048,0.011479990580601031,30.094
136,19,3,3,0.26857167730216325,23.26822648942064,13.65763974849387,2.862202729648433,6.336715702633623,0.35369192731050203,1.1551493727195343,0.1738892823285937,0.03335173351188317,30.119
612,87,3,3,0.2800497403144048,15.693820175126092,10.15745004976964,1.1044569176846248,7.6425126853048635,0.42469475258377154,0.7986365047229691,0.12088855360670932,0.09071783513392404,30.146
623,89,0,3,0.4785561063046596,16.141091154983645,4.570664103713079,11.154716627133169,7.096626477736482,0.4303356644792845,0.7650563219396086,0.1654739813658347,0.02889823641746107,30.191
87,12,3,3,0.2906178755331104,21.173901444262604,10.737381012684988,0.17682931933662155,7.606481317268113,0.40777293106851414,0.7500506061810708,0.1003939763709467,0.017704795128817202,30.198
619,88,3,3,0.22165644689687727,23.442529124006615,5.334095987794024,19.742719002068096,7.4844104713390935,0.4578029259071055,0.23352559141554272,0.1185133555183159,0.03563383946869949,30.221
206,29,3,3,0.2528660165119839,19.26085451354789,14.412630276488667,7.607382174552138,7.926628248774589,0.45252568577636604,0.829469045686191,0.1785012472581149,0.0791692841162659,30.237
620,88,4,0,0.22165644689687727,23.442529124006615,5.334095987794024,19.742719002068096,7.4844104713390935,0.4578029259071055,0.23352559141554272,0.1185133555183159,0.03563383946869949,30.238
621,88,4,1,0.22165644689687727,23.442529124006615,5.334095987794024,19.742719002068096,7.4844104713390935,0.4578029259071055,0.23352559141554272,0.1185133555183159,0.03563383946869949,30.239
11,1,4,0,0.3674967733015604,18.262759137116948,12.361584258838779,4.2289200117783325,6.765696197765187,0.4482220189906516,0.13663919505150737,0.16139454663593736,0.07553387694578122,30.256
12,1,4,1,0.3674967733015604,18.262759137116948,12.361584258838779,4.2289200117783325,6.765696197765187,0.4482220189906516,0.13663919505150737,0.16139454663593736,0.07553387694578122,30.256
312,44,4,0,0.33900443443081274,16.302394178974392,5.166098867702172,18.856359751354777,7.146562893331957,0.47510197916424757,0.18283145086898553,0.19863268195572434,0.07713717224844578,30.257
313,44,4,1,0.33900443443081274,16.302394178974392,5.166098867702172,18.856359751354777,7.146562893331957,0.47510197916424757,0.18283145086898553,0.19863268195572434,0.07713717224844578,30.257
199,28,3,3,0.3231295785153123,23.08873875927479,9.703412319381403,16.42856348271425,6.25390555461045,0.3040722439872222,0.38225125083439837,0.03580804386314583,0.006280922390549163,30.28
662,94,4,0,0.34205225984677146,19.185792781708606,4.7357270621137975,8.881582953737555,7.541611698075121,0.3221373867309674,0.21648252393190098,0.1265067237126188,0.09660389713246659,30.306
663,94,4,1,0.34205225984677146,19.185792781708606,4.7357270621137975,8.881582953737555,7.541611698075121,0.3221373867309674,0.21648252393190098,0.1265067237126188,0.09660389713246659,30.306
115,16,3,3,0.30834159113462933,24.723183505893388,13.521216674670358,17.146731990447925,6.914041193188952,0.44691439542981437,0.46405260275490456,0.11161532696596435,0.004504955492163679,30.324
622,88,4,2,0.22165644689687727,23.442529124006615,5.334095987794024,19.742719002068096,7.4844104713390935,0.4578029259071055,0.23352559141554272,0.1185133555183159,0.03563383946869949,30.331
271,38,4,1,0.37178679129776315,23.77658642395479,15.247914342286633,4.008405896032078,6.862878629855801,0.4669297917988679,0.9703003586043148,0.18348012080232934,0.07956632431382897,30.368
314,44,4,2,0.33900443443081274,16.302394178974392,5.166098867702172,18.856359751354777,7.146562893331957,0.47510197916424757,0.18283145086898553,0.19863268195572434,0.07713717224844578,30.37
697,99,4,0,0.327402567447844,16.9043682701665,2.2012109215156204,9.96611501183019,6.300941186840882,0.47163495347715295,0.19238240099428028,0.07703435262366236,0.08291969076990241,30.38
270,38,4,0,0.37178679129776315,23.77658642395479,15.247914342286633,4.008405896032078,6.862878629855801,0.4669297917988679,0.9703003586043148,0.18348012080232934,0.07956632431382897,30.38
698,99,4,1,0.327402567447844,16.9043682701665,2.2012109215156204,9.96611501183019,6.300941186840882,0.47163495347715295,0.19238240099428028,0.07703435262366236,0.08291969076990241,30.381
402,57,3,3,0.2980599576508978,17.394687487374572,17.78788640038721,12.362396515951232,6.472365962515195,0.3718543103599016,1.4379506253100158,0.14208878491216606,0.02092995560348356,30.383
595,85,0,3,0.4523365239523712,15.192456703495521,11.837153143673142,2.2293479937571803,7.037681304621667,0.3366241902201767,1.1195032726332717,0.010518614366104295,0.07126511137475094,30.386
13,1,4,2,0.3674967733015604,18.262759137116948,12.361584258838779,4.2289200117783325,6.765696197765187,0.4482220189906516,0.13663919505150737,0.16139454663593736,0.07553387694578122,30.387
577,82,3,3,0.29534946791196437,15.747148104414324,19.677483207660504,6.663349332231093,6.053322576514352,0.320666248930493,1.3865829767867723,0.15081926534860246,0.0022117862470076776,30.392
375,53,4,0,0.3582430323299697,21.495908271703883,7.681643502865604,10.970561336821826,6.076432836016934,0.49056865387622145,0.7352341129495309,0.11205597855425405,0.038048528886229824,30.404
158,22,4,0,0.4550971482446199,17.046391766686675,6.444637674571796,3.230198226437794,7.954707739502393,0.46515008381429834,0.1512908366819894,0.07193749877455588,0.02772203267944343,30.407
159,22,4,1,0.4550971482446199,17.046391766686675,6.444637674571796,3.230198226437794,7.954707739502393,0.46515008381429834,0.1512908366819894,0.07193749877455588,0.02772203267944343,30.408
62,8,4,2,0.3767685744100321,22.42743097371744,9.006625480956595,9.112402522828086,6.540903640731481,0.41121363022175306,1.367436253972096,0.11559394654114137,0.005798878339412726,30.419
31,4,3,3,0.3962829340785742,18.195960857730917,19.044926496796705,4.323108432021245,7.8556864137545,0.4030815399207064,1.1659298666517055,0.046355122968963915,0.09307664452470352,30.427
276,39,3,3,0.36337064058400603,17.948619367090878,8.145491883576918,18.09232334246601,7.04308894648373,0.4212441333464285,1.3457203970483769,0.0012229374555274872,0.04146178866164868,30.435
