,set,mu,qs,mu_max,X_max,Ks,Ks_qs,Ki,Yxs,qs_max,m_s,lag,rmse
23,3,2,3,0.35,24.760205375557327,0.9879461157059205,15.053382289001853,13.892960240511163,0.34366515258958985,0.8760675620626545,0.16382040478253954,0.02620001362189785,5.439
548,78,2,3,0.35,23.011391074108296,2.0212219352592538,14.533462243992382,8.062947365985776,0.37398919148917886,0.15170198740977553,0.18444697941829652,0.029242067242593338,5.679
554,79,1,3,0.35,22.9069260624716,16.469106661653516,3.197071422963065,14.169313993509258,0.3312478986588249,0.8680063544322716,0.19078323979562287,0.0017439768645692191,6.027
454,64,4,2,0.35,15.86210814985669,8.896665487551715,5.52113226777772,9.834551893430625,0.3618629169215778,1.481510668057562,0.1529047181874643,0.09584070634975837,6.491
377,53,4,2,0.35,24.401037706757535,10.522302360850299,3.734289867872275,18.580228253895292,0.4085900257335823,1.106387404595403,0.18777983034981915,0.08558086267217235,6.52
547,78,1,3,0.35,23.011391074108296,2.0212219352592538,14.533462243992382,8.062947365985776,0.37398919148917886,0.15170198740977553,0.18444697941829652,0.029242067242593338,6.679
533,76,1,3,0.35,21.275114638401327,7.759806560079077,2.696481292096841,0.22744744019086846,0.3083146731708107,0.35637557062306013,0.1747373822830342,0.035483825721339485,6.705
372,53,1,3,0.35,24.401037706757535,10.522302360850299,3.734289867872275,18.580228253895292,0.4085900257335823,1.106387404595403,0.18777983034981915,0.08558086267217235,6.726
79,11,2,3,0.35,23.771153603555796,3.537056925771172,11.412895945992531,12.888749773875217,0.34461645733747087,0.3269734599614297,0.13401214077593457,0.008711743147573326,6.768
22,3,1,3,0.35,24.760205375557327,0.9879461157059205,15.053382289001853,13.892960240511163,0.34366515258958985,0.8760675620626545,0.16382040478253954,0.02620001362189785,6.911
260,37,1,3,0.35,24.8183082166167,12.915549133391726,1.7693597878279022,16.671985278524538,0.44530891130806916,0.5231284350717772,0.18369601245853553,0.08399629905286243,7.114
20,2,4,2,0.35,20.84198194278497,8.456948852356563,11.214368647316695,7.046271921819837,0.37607244462547845,1.4320737998387845,0.1566969486302816,0.0680337713933514,7.166
534,76,2,3,0.35,21.275114638401327,7.759806560079077,2.696481292096841,0.22744744019086846,0.3083146731708107,0.35637557062306013,0.1747373822830342,0.035483825721339485,7.641
176,25,1,3,0.35,23.354310719923784,11.387842824556166,15.903163964931705,11.451573701458026,0.37581305145341987,0.5079731681462967,0.15889962487123122,0.020225639679503728,7.811
99,14,1,3,0.35,20.168585357170624,17.06794250977092,18.83692644234128,15.454185862821017,0.3816653319227632,0.31867737713605643,0.18926387313560714,0.07764458758874256,7.853
589,84,1,3,0.35,23.45948571478487,12.705079844411689,1.4191082055489488,15.180114025591628,0.3510183792818731,1.2086766583375177,0.14625429914010746,0.04993149298161374,8.052
344,49,1,3,0.35,24.39702474271953,17.38104732893247,17.822564309724264,17.670658388708404,0.4552755532366586,0.33861573877455,0.16542876158268577,0.09834900195260857,8.121
358,51,1,3,0.35,23.12039716281611,14.326081538549733,8.13507299724699,4.569060721269348,0.4571129614974739,0.814302472255832,0.17387129761001172,0.03771479716209107,8.125
160,22,4,2,0.35,22.032297602623238,6.5977996694750445,6.4494954998169325,7.190549362249557,0.38242778498291186,1.223098516410147,0.09777626050439282,0.07056936487972078,8.132
205,29,2,3,0.35,23.981236285057687,3.9210575282513616,9.30845007838817,5.97319166727113,0.36527651885934903,0.9816177869927735,0.11863451707475095,0.0787820224959022,8.152
139,19,4,2,0.35,22.67276626209633,9.9933470864367,10.682712730142338,1.1193025654501925,0.333683376774809,1.272332096776717,0.09963140347241206,0.04870133320514506,8.257
624,89,1,3,0.35,20.34517525059367,12.56779294984831,8.586824292719175,14.933474526779834,0.3497008732357684,1.4086526990226738,0.16809704564439423,0.024574601923798907,8.427
