,Acetic acid [g/L],Air feed [mL/min],Air off [mL/min],Biomass [g/L],CER [%/L/h],Cum. Acid feed [L/min],Cum. Base feed [L/min],DO2 [%],DO2 [%]- smoothed,DateTime,Ethanol [g/L],Feed total [L/min],Glucose [g/L],Glucose feed [L/min],Glucose feed [g/h],Glycerol [g/L],Lactic acid [g/L],OUR [%/L/h],Offgas CO2 [%],Offgas CO2 [g/L],Offgas CO2 [g/L]- smoothed,Offgas CO2 [g/min],Offgas CO2 [mL/min],Offgas N2 [%],Offgas N2 [mL/min],Offgas O2 [%],Offgas O2 [mL/min],Pump - Acid [L/min],Pump - Base [L/min],RQ,Stirrer [rpm],Stirring [rpm]- smoothed,T [°C]- smoothed,Temperature [°C],Volume [L],biomass original,pH Value (pH),time [h]
1224,,0.1,0.10078929232750677,,0.017750055461845878,0.07180833333333331,0.13376708333333337,31.70777777777778,31.92909541417772,2023-06-01 06:39:00,,0.0008564391037224432,,0.0006593333333333334,13.846,,,-0.01957228831195495,0.49814338200959457,0.009846800232183654,0.0096042062094491,9.924520270921199e-07,0.000502075189503779,77.3891731936615,0.07800000000000001,20.672695058890437,0.020835863054879132,0.0,0.00034166666666666666,0.9068973018859509,472.83500000000004,473.4729869244725,29.860885085950205,29.843333333333334,1.2678039853933263,,6.96125,20.4
1225,,0.1,0.10079124032376859,,0.01774703536824084,0.07180833333333331,0.13376708333333337,31.9925,31.93543587275995,2023-06-01 06:40:00,,0.0005156891037224431,,0.00066025,13.86525,,,-0.019514110926769457,0.4987021508395279,0.009857845415644948,0.009616888169758891,9.935844663628303e-07,0.0005026480833524715,77.38767749007057,0.078,20.673499420125115,0.02083707648387121,0.0,0.0,0.909446268643244,467.3766666666667,472.86335489869197,29.85946324402185,29.846666666666664,1.2683196744970486,,6.985555555555556,20.42
1226,,0.1,0.10078986349593444,,0.017711988192454717,0.07180833333333331,0.13376708333333337,30.71888888888889,31.813781174372842,2023-06-01 06:41:00,,0.0005165300128133521,,0.000661090909090909,13.88290909090909,,,-0.019515084128337808,0.49820601503168954,0.009848038299131407,0.009628445676227518,9.92582435872189e-07,0.0005021411624789745,77.38873463515137,0.078,20.67302076445324,0.020836309408978605,0.0,0.0,0.9076050134334385,479.32454545454544,473.5094739542774,29.859607828710573,29.860909090909093,1.268836204509862,,6.99,20.43
1227,,0.1,0.10079232788413164,,0.017690974713519686,0.07180833333333331,0.13376708333333337,32.71625,31.904028056935555,2023-06-01 06:42:00,,0.0005174391037224431,,0.000662,13.902000000000001,,,-0.019522823393646898,0.4982974351566835,0.009849845400742161,0.00963951566245325,9.9278884723961e-07,0.0005022455846813427,77.38684246847326,0.07800000000000001,20.672118136123014,0.020835909092356154,0.0,0.0,0.9061688648618657,481.18083333333334,474.276609892183,29.86206371250618,29.88416666666667,1.2693536436135844,,6.982222222222223,20.45
1228,,0.1,0.10078948548957739,,0.017682467481646855,0.07180833333333331,0.13376708333333337,33.44222222222223,32.05784747346423,2023-06-01 06:43:00,,0.0005184391037224431,,0.000663,13.922999999999998,,,-0.01952117796226241,0.49871316239778046,0.009858063081116926,0.009650443033386432,9.93589105869573e-07,0.0005026504304495235,77.38902487806227,0.07800000000000001,20.671458095632573,0.020834656257781664,0.0,0.0,0.9058094504250677,477.065,474.55544890296466,29.863690674588895,29.878333333333334,1.269872082717307,,6.9725,20.47
1229,,0.1,0.10079113345121354,,0.017716347706136146,0.07180833333333331,0.13376708333333337,29.38625,31.790687726117806,2023-06-01 06:44:00,,0.0005192724370557763,,0.0006638333333333332,13.940499999999998,,,-0.01947212719895371,0.5000072374794468,0.009883643063256222,0.009662103034879922,9.961835869728189e-07,0.0005039629619936354,77.38775954707837,0.07800000000000001,20.67227878365463,0.020835824096240244,0.0,0.0,0.9098311409494128,476.7525,474.77515401266817,29.865071607130005,29.877499999999998,1.2703913551543626,,6.962222222222222,20.48
1230,,0.1,0.10079135493825453,,0.01776944134564863,0.07180833333333331,0.1346219166666667,33.83555555555555,31.99517450906158,2023-06-01 06:45:00,,0.0013750224370557764,,0.00066475,13.95975,,,-0.01951777575449852,0.5023409745433508,0.009929774043798415,0.009675486585325846,1.000835380105153e-06,0.0005063162746522756,77.38758948898278,0.07799999999999999,20.670045046560002,0.02083361846877539,0.0,0.0008548333333333333,0.910423481095333,487.7033333333334,476.0679719447346,29.866064446417003,29.875,1.2717663775914185,,6.95,20.5
1231,,0.1,0.10078692168927231,,0.017834448895754702,0.07180833333333331,0.1346219166666667,32.66428571428572,32.06208562958399,2023-06-01 06:46:00,,0.0005210754673588067,,0.0006656363636363636,13.978363636363635,,,-0.019693220509205685,0.5046801194159092,0.009976011920494276,0.009690512852084268,1.0054515322021036e-06,0.0005086515567370384,77.39099348670976,0.078,20.664759516730758,0.020827374991403875,0.0,0.0,0.9056136291886798,474.7009090909091,475.931265659352,29.86673072904803,29.872727272727275,1.2722874530587773,,6.9575,20.52
1232,,0.1,0.1007882309903429,,0.017880659593034465,0.07180833333333331,0.1346219166666667,32.06333333333333,32.06221039995892,2023-06-01 06:47:00,,0.0005219391037224431,,0.0006665,13.996500000000001,,,-0.01971481789703025,0.5063056497173616,0.010008143777963087,0.009706394398378209,1.0087031068779067e-06,0.0005102965077542908,77.38998813013559,0.07800000000000001,20.663733584907927,0.020826611536786065,0.0,0.0,0.9069654960256024,469.62999999999994,475.3011390934168,29.868057656143222,29.88,1.2728093921624997,,6.97,20.53
1233,,0.1,0.10079074089455185,,0.017897285509250408,0.07180833333333331,0.1346219166666667,30.17125,31.87311435996303,2023-06-01 06:48:00,,0.0005227118309951704,,0.0006672727272727273,14.012727272727274,,,-0.019647464754217338,0.5073879422604052,0.010029537454661428,0.00972255155119237,1.010884510884983e-06,0.0005114000662138833,77.38806095453181,0.07800000000000001,20.66478237757277,0.020828187262602382,0.0,0.0,0.9109208609425675,472.9154545454545,475.06257063862057,29.87088825416526,29.89636363636364,1.2733321039934948,,6.97,20.55
