,set,Yxs,qs_max,Ks,m_s,lag,rmse
9,9,0.4028381670656375,0.6264275147117726,0.17176897570498767,0.003216786705395848,0.6910810669533953,9.07
12,12,0.3999366415691467,0.9625767081420451,0.678653791632447,0.004289350968365304,0.9243468855450166,9.114
84,84,0.4479218835757678,1.0919804678804363,0.9075417991472886,0.007002164208713655,0.9961856155858313,9.147
90,90,0.3325046866846468,0.5787036915370553,0.5569644239073064,0.007450183818299302,0.6604001290889661,9.155
29,29,0.34844818489282775,0.5641246356255001,0.6589228654028587,0.0036903131120657523,0.6516065373258758,9.201
23,23,0.37933695953408864,0.9243752189508013,0.10020440447617822,0.0024863805579845594,0.9680825631124452,9.231
86,86,0.3172478631651612,0.7393875052285193,0.9576134232053726,0.00352457802486465,0.8358354687468289,9.276
92,92,0.4918894641455688,0.8415218619330235,0.4654467920439255,0.007207316550182211,0.9432309236030135,9.312
97,97,0.48040606904123706,0.7222095204268631,0.30176627151214686,0.00978641294600288,0.9002433671205595,9.354
10,10,0.4685649579239741,0.8518253336888243,0.8272516792775724,0.0020247919394572,0.9792522208840574,9.439
18,18,0.41491148510936515,0.7059361081428471,0.02278011151164536,0.009878241835912845,0.09204095835396212,9.494
55,55,0.3159376894675247,0.6392677156400287,0.7842728583970332,0.00023977732984213764,0.8470280401959269,9.525
26,26,0.4010151903439423,0.7142544228900846,0.9383537377608128,0.0014797740703878606,0.9337330048769399,9.542
15,15,0.463973991147819,0.5156925569221977,0.6268867841287287,0.008879934819597214,0.781623677389161,9.547
4,4,0.36730727667432345,0.5356903301655177,0.5231188093024607,0.002959919318950642,0.8236940707432805,9.661
1,1,0.35307133309938227,0.5544230088533038,0.6455876015564346,0.009178836789268128,0.8676546894716645,9.666
62,62,0.3113081367898054,0.5054266100898744,0.6070089241832597,0.006734832625382048,0.8155183016787168,9.741
6,6,0.300148776945015,0.5295554113822116,0.12179493872960506,0.007156768941340692,0.8763236312939728,9.75
13,13,0.3902380804940879,1.3367674689239974,0.44597642389291375,0.009438541751896571,0.1047162111164789,13.747
93,93,0.3955586708225284,1.4877384087113792,0.5145890007864685,0.00040386708699407284,0.08127678234290761,19.945
36,36,0.4280265640023064,1.1780137110268638,0.848160745823803,0.0065661654017235,0.06714013081479801,21.49
44,44,0.35047515708042565,0.9597384561185224,0.09215868617306393,0.00807888460121014,0.05884926466342654,22.475
7,7,0.344713917870287,1.4240781300141234,0.22341633331771252,0.0012594448959508061,0.07509321932462754,22.566
85,85,0.34298561018952867,1.0884217615223855,0.11639729508864445,0.0031992427680285064,0.04795726989774482,31.131
79,79,0.45243113787758626,0.8026637740689538,0.14549115819309402,0.000904116334565956,0.030878399250826742,38.796
33,33,0.38387571195353154,1.0776727348398896,0.33587203874731864,0.0018809004529907341,0.03461518870207407,41.813
95,95,0.3699740804356947,0.7572655079061111,0.03299048086895754,0.00608085558207216,0.014913599187014855,55.189
34,34,0.38103590828767536,0.907390087479414,0.39737987125914165,0.0051733527659172706,0.002465153935985135,56.989
