,set,mu,qs,mu_max,X_max,Ks,Ks_qs,Ki,Yxs,qs_max,m_s,lag,rmse
30,1,3,2,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,49.043
46,2,3,2,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,49.073
62,3,3,2,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,49.11
78,4,3,2,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,49.189
2,0,0,2,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
34,2,0,2,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
18,1,0,2,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
66,4,0,2,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
50,3,0,2,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
0,0,0,0,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
32,2,0,0,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
48,3,0,0,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
64,4,0,0,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
16,1,0,0,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
3,0,0,3,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
51,3,0,3,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
19,1,0,3,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
67,4,0,3,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
35,2,0,3,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
33,2,0,1,0.225,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
1,0,0,1,0.225,23.16,1.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
49,3,0,1,0.225,23.16,10.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
17,1,0,1,0.225,23.16,5.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
65,4,0,1,0.225,23.16,20.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
