,set,Yxs,Yc02s,qs_max,Ks,m_s,lag,rmse
2,2,0.8868498105597167,0.004541559393015393,2.0179878838201946,0.8042988874966055,0.03598703248335924,0.14713683486446824,3.034
28,28,0.9149868959298502,0.005293100685775987,1.6729223345969544,0.7828797094406202,0.04788333658327921,0.1446993340247922,3.036
20,20,0.8732881321233589,0.004992505260055365,2.070385514435652,0.6250522850787349,0.036443158710659306,0.1513956925517862,3.041
34,34,0.7983137064712484,0.004149771176434041,2.343105613673206,0.5436364600037584,0.041329866913954724,0.16037624747818227,3.062
39,39,1.0618665621625527,0.0057633406517066995,1.9727265623359902,0.7659958836855157,0.046636395615238704,0.15877655952176514,3.078
16,16,0.8989686377886488,0.005342403907726246,1.9223239359440467,0.7127498448936297,0.044796522071839075,0.15487755419413873,3.08
43,43,0.7462675368508297,0.005991636308624678,2.369804990871823,0.5293651250767097,0.038601544152125515,0.1624691517448241,3.106
23,23,0.9689243338779732,0.0053886694907280645,1.9867350210738284,0.7508376143270089,0.03621238779591462,0.1559026874332429,3.128
47,47,0.7834424866601647,0.0047178222545269455,1.8768764155120645,0.8402205238425269,0.03515242531151643,0.1495704467824146,3.138
14,14,1.0119294514388522,0.004428465728516227,1.6878482617128407,0.5327243213463496,0.031054190254839905,0.148579121078079,3.158
30,30,1.053112477913285,0.005859111437675717,2.2699175803601994,0.729749782196671,0.040077323448887245,0.17386579725632112,3.234
11,11,1.0228449498339174,0.004178575966020322,1.7451665696909848,0.7920222777560123,0.04882549075785985,0.16758030670842802,3.237
25,25,0.8110621118347865,0.004380438771623468,2.323336832137903,0.8005718795972809,0.042775073690178085,0.17653187463657566,3.266
8,8,0.7919446240148122,0.005949934693446441,2.2996110244940673,0.7594324877000005,0.04176260153276727,0.1785773923694749,3.301
7,7,0.8451110241250599,0.004293037433553098,2.2860469892453312,0.5579821122436162,0.04432570909848772,0.18545728658229366,3.316
45,45,0.7335440776755123,0.0055540930130630285,1.8692786124264393,0.5793845041878266,0.032117896433475485,0.16486060385743206,3.317
37,37,1.0328145238923594,0.005142205283382136,1.7885859078285933,0.809512554117437,0.03456674496891421,0.16442624477422943,3.337
49,49,0.7601292812146039,0.0050655189583349,2.140775012796096,0.6331636310140769,0.042276220200503686,0.18114211602272934,3.363
41,41,0.7391317286393405,0.004580528254629328,1.7246152504953338,0.6625404185972805,0.047169476797491436,0.16957829878673952,3.363
26,26,0.834264739175614,0.006241053170838195,1.9041572973517151,0.5849707159187325,0.03319183284277051,0.17526542235516482,3.415
9,9,0.9571759863479397,0.004653645141055924,2.2128984019953966,0.5920264393818743,0.04314117784261809,0.19394938811168755,3.442
44,44,0.7235713477196918,0.005184807514961466,1.7145866325880528,0.7451492402926778,0.037471842439985734,0.170837644294161,3.461
22,22,0.9030293501887378,0.004624401756610513,2.1018254335667823,0.6508606564860363,0.03965218037777238,0.18966821765511413,3.476
32,32,0.9273266431479801,0.004487881180167846,2.0029534304571164,0.8326959649440182,0.03891670417317514,0.18636462030313472,3.507
33,33,0.934938832371538,0.004342175154874583,1.7009096136605457,0.6880989163764988,0.049604249407509696,0.18922357639086032,3.528
6,6,1.0048219723929406,0.004832309924984098,2.256688299850964,0.6016014725339864,0.03795053868798151,0.19750933151097722,3.545
46,46,0.9862705434743742,0.003888667436957664,1.8222496106452064,0.6735532131464523,0.033269302236975315,0.18188912801113039,3.566
17,17,0.8252628850147997,0.0038397515782557664,2.2002193194340367,0.6859515125914022,0.04922772990988193,0.2059840043384433,3.577
24,24,0.963781624029926,0.003968923588095302,2.094823778866356,0.7348656598300727,0.034394690659738936,0.19230790013307475,3.599
10,10,0.7839462251765724,0.005709082178697125,2.0361700712955773,0.5473171706805435,0.04058358676792494,0.20081775363520685,3.633
42,42,0.7665505206022232,0.006110070596701889,2.249489152867186,0.7004522959981085,0.046079759341682805,0.20811484283907694,3.633
13,13,0.8418421041914388,0.005421604177084961,1.8315363782918903,0.7758976144526245,0.04510336597888109,0.19614878396642574,3.648
5,5,0.9432202324953793,0.004049587834865169,2.238153251195993,0.5700817897134024,0.03174268195797032,0.2017009775190241,3.686
4,4,1.0429223108786492,0.004900886641210951,2.3574237152988458,0.6402984352728097,0.04534381755176607,0.22587653767423035,3.787
