,set,Yxs,Yc02s,qs_max,Ks,m_s,lag,rmse
51,51,0.49848695419932204,0.002754156635584433,1.7597967035302229,0.7030364043774344,0.041852463132000556,0.17689434646963575,2.605
28,28,0.4910505977438711,0.0031238964702137374,1.7024917378498161,0.65127311419381,0.045124780023822156,0.1749487628005635,2.613
66,66,0.49371430926063714,0.0031884906571748536,1.7307344470534782,0.6921546484010186,0.032652024392184245,0.174449078853832,2.631
11,11,0.5004221086479247,0.0027717394577931524,1.5468568472076019,0.6169896226518108,0.04679043496364884,0.1764983122622262,2.699
56,56,0.48483062908375846,0.0032307064173854438,1.6234483263705248,0.647820626293047,0.04400723190881414,0.17583430669288908,2.705
13,13,0.4862763927639268,0.002854641195241376,1.6168351780995878,0.6376009373308301,0.035508245407284006,0.17472826110275033,2.712
41,41,0.5032850649054593,0.003055472126789398,1.517523521274489,0.7160396614948968,0.037610388438210525,0.1728279817003602,2.729
59,59,0.5058909861346018,0.0032760923097733775,1.4503623756848907,0.7189265511064797,0.046535304749697054,0.17243630419579767,2.735
17,17,0.48710649381813953,0.002958674301799606,1.6672501573173308,0.6429260553981154,0.03297486004291091,0.1776725413272095,2.735
42,42,0.5029649477343624,0.0029170228578894028,1.6537816385299426,0.6240149926814175,0.03258805261114993,0.18037781903631908,2.746
85,85,0.4877046342054816,0.002926101338625669,1.7387051862669665,0.6954876798949602,0.047938020352174315,0.18495554636380332,2.758
26,26,0.4662671706461918,0.003264284588439871,1.664933565521271,0.6183924823958046,0.03231607799075669,0.17533116243963082,2.759
95,95,0.4625215925018941,0.0030846781092261463,1.626534081745086,0.7458854659734737,0.035542416809196946,0.17316510472194385,2.803
21,21,0.46916542760239127,0.002912078643174336,1.6208200908009616,0.6764585152172685,0.04022651862734514,0.17742152606092712,2.81
23,23,0.49199616250735445,0.0031665100689510714,1.5885719371339435,0.6830876114660793,0.045910919940298014,0.1833039310225293,2.83
39,39,0.4649605223164285,0.0032843175931616714,1.6785652696781688,0.7045246949200885,0.047767049276477236,0.1813462973055593,2.835
37,37,0.4819818172468878,0.0031617404373259295,1.7181362012080104,0.613792806931562,0.03842274495254501,0.18767321685428587,2.841
79,79,0.4675611348155769,0.0030612111970276727,1.6061839463988774,0.7071682886866121,0.04059360121156432,0.17955171286015698,2.869
55,55,0.4476501709668323,0.0031019157788975222,1.5786156943381722,0.6609778220109082,0.03720748345483806,0.173520543658023,2.869
72,72,0.46968031050054726,0.003073589274788367,1.7464918959312061,0.7430947594337541,0.034004470751708954,0.18465145848494147,2.876
87,87,0.47922137220594646,0.002965235697433891,1.676530109069549,0.703129421791326,0.036310079519454544,0.1853056677725175,2.885
74,74,0.44697503941518635,0.0031517552092151357,1.5995440816229454,0.7354822478824921,0.04550913146033847,0.17606466483961852,2.906
99,99,0.4214541311347888,0.002705766331946284,1.6968229683506828,0.6908409689874665,0.04637550015737946,0.17380322850412996,2.924
19,19,0.448371484076625,0.0032116238410126643,1.7530487190558177,0.7470158865354952,0.03889434158441618,0.1841914849548057,2.924
77,77,0.49028973067939174,0.002747040343231529,1.5056855644747293,0.6148014522448803,0.032951247267405365,0.18167631648629334,2.926
24,24,0.467240645934972,0.00278505913206258,1.7554551543034704,0.7199746071413036,0.046130234695366014,0.19147233331971267,2.927
96,96,0.47189418082868057,0.0029895868149886315,1.4430022986144795,0.6213800938296751,0.03705521041643314,0.17832003298869467,2.958
1,1,0.4961919993535081,0.002951205877861022,1.702089246086675,0.7010234069953025,0.03811062077232762,0.19468411951959472,2.966
14,14,0.44190583465113126,0.0029790889286482425,1.635591918916979,0.6518270259902114,0.04230133894313011,0.1827223744052743,2.969
62,62,0.48566753070352586,0.002983351166528031,1.6857485611650815,0.7273304319794555,0.03971417153629271,0.19425178835523196,2.997
30,30,0.45410303796289275,0.0030265654543808625,1.573061477847388,0.6575515448960916,0.04745246299520478,0.18576400744655225,2.999
45,45,0.45750850471084165,0.0028735888695802497,1.4664597272077178,0.6263287904477534,0.044784622198938404,0.1819982385411097,3.015
48,48,0.4922142487169756,0.0029363212113324507,1.4817271548618633,0.7368638187650508,0.04480696614087573,0.18814795234181628,3.028
7,7,0.4726293534279107,0.0032966751949934873,1.6817239802106776,0.6844698823596406,0.03949079165951319,0.19488003348581992,3.032
90,90,0.4704850780570844,0.0032481993498476264,1.5664821185685476,0.645790020188714,0.04762816425902764,0.19238446675215504,3.038
70,70,0.5018905856610942,0.003271441810920512,1.595301795928104,0.6874038888406249,0.046618648105758706,0.1989662164650541,3.049
9,9,0.482760000993426,0.0030063164088605264,1.4978639450440454,0.7221886836398717,0.03930750603442224,0.18705820414118088,3.049
54,54,0.4731435742004205,0.003127457816413756,1.640894973199259,0.6358154736483616,0.04573558265348263,0.1974536697712828,3.052
12,12,0.5044172155937472,0.0032404541211892633,1.7248849427530553,0.7412114618902461,0.03367455453641225,0.19882022290905121,3.053
89,89,0.4640410622754762,0.0028178572087468193,1.5035426085515686,0.7136869036097947,0.03445931228763693,0.1830887535965847,3.056
68,68,0.4406974079265924,0.002877454555085303,1.7203970495622034,0.6884848784455655,0.034844678106804014,0.1905428257561377,3.061
91,91,0.4631712795576648,0.002822377252778311,1.6887873937527758,0.6792771481622835,0.040376223824168445,0.19646731958151606,3.073
34,34,0.4751909740474406,0.0029036298763803975,1.6443723844492801,0.710984586790053,0.043289432831662256,0.19679487021288963,3.073
49,49,0.4581841634583633,0.0030711082977080612,1.543324035075981,0.6126997110382477,0.03335314236766696,0.1872738006701175,3.075
69,69,0.4459215648638488,0.002842824582529253,1.4490875944371802,0.7280369944876053,0.03694671704099335,0.178025753754399,3.08
53,53,0.4195947584464068,0.0029434856515938826,1.6080644711290883,0.6708337199384643,0.045304028796887524,0.18224207285160723,3.081
61,61,0.48874433164690695,0.0031411566805858914,1.6298061591829776,0.6668737262487511,0.043984605004820085,0.20007870116306353,3.081
36,36,0.45174386671693767,0.0031977805508128093,1.5696228464569988,0.6748323685902404,0.04497600609821527,0.19002609598644388,3.086
10,10,0.4252386215712703,0.003258701305025927,1.647180170367167,0.7337808417126035,0.0443242402964084,0.18612615579342504,3.101
57,57,0.43673144820213855,0.00303390115335344,1.4849307232636602,0.6967437047865352,0.03585758683803727,0.1799085490348099,3.103
58,58,0.42403116732738777,0.002749441853445224,1.693085222899453,0.7297378116086276,0.04109672343874011,0.1892408914948385,3.12
97,97,0.455057348885002,0.0028329698986429438,1.5836014572233537,0.6811648725564958,0.04219856912266509,0.19304930255540334,3.122
75,75,0.426045439974908,0.0031057656997121688,1.4708817149212745,0.6189429137391982,0.03526906545792988,0.17938024778925873,3.122
63,63,0.49886675484641146,0.003225736553656697,1.7100443657337467,0.7439315505642761,0.04351367420679835,0.20631227008575673,3.124
44,44,0.5011995551205982,0.0028927926079681493,1.5118291283791339,0.7209367519427766,0.040760856247164384,0.19557723372689492,3.126
64,64,0.4606105292806658,0.0027761534129382465,1.5751762612766422,0.6293673072591321,0.04201828950364581,0.195485723482983,3.13
67,67,0.4149177861963205,0.0031135521278918923,1.5271256675985807,0.6462251469877812,0.04695852231164041,0.18074498613884613,3.131
84,84,0.42080318756227836,0.0031769671275998492,1.6725843217444787,0.6778960233959476,0.041235081299881446,0.1897314306326605,3.136
47,47,0.422290814493774,0.0028285671531323416,1.4557989816745047,0.7084264543344463,0.04708048449417976,0.1787967852400138,3.15
35,35,0.44932385074827497,0.0029097538575735813,1.7126074082951488,0.6320665599525779,0.03999900062176276,0.20122048992721764,3.153
71,71,0.4838804625580847,0.0027808363114844798,1.7348158549314001,0.7258403494910167,0.03322723870960668,0.20303911025519053,3.156
86,86,0.42911994008630705,0.003119405703464624,1.5841547807386889,0.6585186737355706,0.03662906641460949,0.18836060255153195,3.157
3,3,0.4451601430223275,0.002880876387555641,1.5377941976247023,0.6388806140971823,0.041468111978134,0.1920623133107081,3.167
40,40,0.4404951926640387,0.003080413077729715,1.7220540699223623,0.6270706699097405,0.042530708703337895,0.201857719630966,3.17
83,83,0.43436853266626335,0.0028444270714000773,1.521133949636011,0.6558722450611324,0.04295141782434074,0.18870546578826902,3.171
43,43,0.4184959091231843,0.003290756029812768,1.7071928168949837,0.7391063149052048,0.032477808983850116,0.19101624746543433,3.184
88,88,0.4396713403359421,0.0032048773124440395,1.7415261489831368,0.7141233253971232,0.03836150382214805,0.20021172358301031,3.185
