,set,Yxs,Yc02s,qs_max,Ks,m_s,lag,rmse
81,81,0.39883944498549934,0.0009826956521494954,1.9245372064781003,0.6537040244893616,0.009856758643198037,0.16442488922730605,1.651
56,56,0.4904565312565599,0.001186638628808285,1.9449304465630173,0.6200794449643132,0.008975173520621813,0.16704277679042936,1.672
94,94,0.4945796031113333,0.0010378408408197608,1.7806587713719075,0.580270781041505,0.009169785753285642,0.16347221501661205,1.705
24,24,0.514139705552133,0.0010812703601777985,1.8397410753041479,0.6332559818650246,0.009127232939623494,0.16587616122881718,1.781
95,95,0.48311615730615787,0.0009607308609125755,1.931187639397105,0.5834039261889551,0.009695488946912488,0.17513674432136458,1.804
25,25,0.4122843441814188,0.0011827987386971018,1.880741502524671,0.609532798150991,0.009444436550525154,0.17601525306701207,1.819
17,17,0.42745497436598506,0.0012220499249259876,1.8295411795713898,0.6848907577546443,0.00972669166156579,0.17456144835454357,1.847
14,14,0.4885262540233245,0.001213545635285467,1.8747712638898322,0.6371849451835138,0.009307135649262499,0.17391004625667286,1.857
92,92,0.457424070035557,0.0012397340685352492,1.9119678239667883,0.62262634379798,0.009561462913912704,0.18518384038544278,1.983
87,87,0.45902680791387585,0.0010062782752690523,1.4177283957458058,0.6480821338000824,0.009069112221949593,0.16260899789461214,1.993
88,88,0.446676145317007,0.0012058274991667475,1.538580043216197,0.7490264652257269,0.009800162615621623,0.1683154568314658,2.002
42,42,0.39584219318587516,0.0010455819037058316,1.5896725179768696,0.6302223548153181,0.009185586266006402,0.1731134887605016,2.015
29,29,0.4922289426967579,0.0009376106163684942,1.8967716959451457,0.7361327855525117,0.009113840264062045,0.18052760541293333,2.021
34,34,0.4316863483244591,0.001092732470038523,1.3972117983940513,0.6762166166287146,0.009366369869644066,0.1642607742797949,2.044
80,80,0.4549698438805683,0.0010999332261414513,1.808841891137198,0.727125025340094,0.009476312732251111,0.18266958887698148,2.048
7,7,0.4005533334506684,0.001123797014058836,1.7908977982196412,0.6888024944400717,0.009009002459123953,0.18420626954696262,2.056
65,65,0.5235447839978853,0.0009925413014374015,1.6365243084703054,0.5902495479825849,0.009198180142339125,0.17072311608516047,2.062
