,set,Yxs,Yc02s,qs_max,Ks,m_s,lag,rmse
34,34,0.47146503186217253,0.0010077054921556238,1.9185865497521764,0.6467439942149211,0.009842220232827409,0.164085733944917,1.595
89,89,0.44938192075491357,0.0009750560499535701,2.218071031310189,0.6840977370026579,0.009585298543148647,0.17447469905282434,1.611
28,28,0.5187846859849833,0.001245539030850938,2.056331715573091,0.6171210714740858,0.009230759193739077,0.1664756904331996,1.656
88,88,0.45290553944293527,0.0012539816932086193,2.1979118263501327,0.7363555918058242,0.009100915254811005,0.17556647552337545,1.667
39,39,0.4820642468878496,0.0012190855389148944,1.947210193885406,0.6662345554098291,0.009070134240679859,0.1670431410944542,1.669
38,38,0.4902240720108466,0.0010394124531514523,1.9184084512408601,0.7782702232084335,0.009150066999957985,0.1636508009368385,1.67
18,18,0.4420626148335451,0.0011299064190151706,1.7641656585135326,0.7118136260394765,0.009240819887889079,0.16285597690243825,1.699
40,40,0.4626074948886962,0.0012339455942886265,1.974466047393348,0.6420501459169834,0.00975169334088599,0.17239517710401464,1.709
19,19,0.5349916728953293,0.0011194023760194493,2.1283533133167514,0.5916198065305448,0.009164768167008789,0.16900241018651213,1.716
57,57,0.4795788091688257,0.0011667104759986364,2.09778937446946,0.7620894298585804,0.009233677979931347,0.1732492982994555,1.72
45,45,0.4585359065527659,0.0010127446041215424,1.7942562881213369,0.7152027672184578,0.009424223883682444,0.16511619578889633,1.722
17,17,0.4985225230525879,0.0011163512690404844,1.8671482671102577,0.7282129300760459,0.009455311777563119,0.16550267387927278,1.739
3,3,0.46047676172574814,0.0010256807515139493,2.1425530087539633,0.7816986630642717,0.009801551424781398,0.17906463592230265,1.773
29,29,0.5458574380362871,0.0011087432826016618,2.0338447252520764,0.7549253770766711,0.009045806225720465,0.16480581553976328,1.775
54,54,0.4380707251290827,0.0012160415384478162,1.8844828908349114,0.6526223602947108,0.009656371967454794,0.17867356930965952,1.872
46,46,0.4763379302781741,0.0011970178264488276,2.1890974509486707,0.6430535250871211,0.00921717918079669,0.18647524119915132,1.876
70,70,0.5048165446156239,0.0011285580284995126,1.9913116371583486,0.7017156722598393,0.00929171128427364,0.176587084388021,1.893
52,52,0.4542370154525221,0.0010197765066904656,2.00214113716119,0.6607967998992605,0.008936471076539537,0.18309822735557646,1.902
71,71,0.5174974535153838,0.0010072464488981444,2.2045355714654757,0.7395538278458619,0.00952511203623256,0.18170451255959202,1.91
21,21,0.5202367892990871,0.001225568339557349,1.6953023868367056,0.603097940870827,0.009814895481104289,0.1677417169867425,1.927
11,11,0.5094477497269551,0.0010505600799816223,2.1614077796427065,0.6461768503407525,0.009414510258789569,0.18454147843799534,1.941
30,30,0.5486330938897173,0.0011402927213831188,2.067023093540523,0.7722320147175291,0.009867121593375423,0.1737250379163768,1.941
97,97,0.5590046671965778,0.001156595468585845,2.0233422323972183,0.7486833972353424,0.009715234820534435,0.17152959900433004,1.961
96,96,0.5513764665161741,0.0011727450648624587,2.1338068068898153,0.7689459074168338,0.009674971515181376,0.17617002090684308,1.967
65,65,0.5336527138735778,0.00118717933333955,1.768651431664897,0.7285654288071063,0.009434017141259899,0.16851804801361944,1.977
63,63,0.5110788371048995,0.001091374644870762,2.2120242685639635,0.682716255440438,0.009342044460441557,0.18705977564005774,1.979
90,90,0.46493270771284895,0.001120751891099666,1.6436424002237169,0.7164063429774854,0.00981060836324464,0.1721049442077406,1.983
44,44,0.4388845280405577,0.0012000222589991106,1.7759548587586227,0.7460884970402397,0.009777697985088407,0.1795034056703449,2.0
12,12,0.4963123545514314,0.000986558424118277,2.1213495715300392,0.5995189801160477,0.009118575465367212,0.18919201209551148,2.009
73,73,0.47005767566621737,0.0011646274480285358,2.0784898169948813,0.7054059346077769,0.009612832388730218,0.19021579946571515,2.015
79,79,0.5317026812443435,0.0010230273609068592,1.7162345410821402,0.6711503730985846,0.009520862370701032,0.16981798188108163,2.021
68,68,0.45195767587041547,0.0011620354878055796,1.7079262998250606,0.6064640093297394,0.009041404514780109,0.18048899660472617,2.048
87,87,0.5713223829047435,0.001035321920905064,1.872351169269664,0.6246061082159543,0.009691830014158092,0.17072030064650354,2.061
31,31,0.5640459600600547,0.001068396271262036,2.1832398924122653,0.6994769558801294,0.009261899746895341,0.17984932846806667,2.062
42,42,0.5004466706993759,0.0011340719096197007,1.6992021003394435,0.7385960282938966,0.008976615010055113,0.17514067878387937,2.091
16,16,0.4745666829353585,0.0010555096253556976,2.1709406397300164,0.5816275654388621,0.009722037938224957,0.199438901714162,2.096
55,55,0.567387787350794,0.0009601817514003421,1.7580436879947163,0.7515079474999409,0.009250603804335733,0.16795843463345372,2.112
24,24,0.5618833788027128,0.0011232967635064139,1.7847395069922622,0.7318089622860056,0.009089018003310119,0.17020970786305084,2.117
67,67,0.4807881243146776,0.0010780621520856883,2.192102388036663,0.627513610101436,0.008943833272642206,0.19915025730731928,2.124
93,93,0.4888198992534346,0.001033353804561015,1.6641585046083505,0.7257934371357876,0.009015114860632665,0.17711425639281966,2.129
5,5,0.5256535846421657,0.0010458878710381955,1.9553917316584757,0.7080377499768973,0.009772898660954907,0.18418458243461028,2.13
0,0,0.4507504665216082,0.0009351204121593344,2.1786578149381763,0.6547244449221273,0.009669998653177529,0.2031270560692332,2.131
64,64,0.48424051563354614,0.0011485152128239305,1.6879105725405201,0.6379160684331813,0.009310101470533069,0.18150396262155907,2.151
69,69,0.4465246991038382,0.0012395336057504655,1.9385485019878888,0.5796675741503906,0.009653623408755686,0.1999274822023212,2.2
26,26,0.4871468684667145,0.0010811103229037163,1.9351147147845746,0.6362107692470009,0.009831645524385198,0.19451045310812035,2.208
14,14,0.5121049179732006,0.000956236911953909,1.9814352180065422,0.6055731487181206,0.009709127623365761,0.1937585710087864,2.228
9,9,0.4564246891237989,0.0011954044250124048,1.9286711220538102,0.774863556071441,0.009440502186013682,0.19710801876710643,2.245
58,58,0.49200039181533856,0.0012242818661357797,1.6600914491981233,0.6882067461866083,0.009732966115599286,0.18359070447232712,2.245
1,1,0.5357307352928902,0.0011699808041107194,1.899534795908652,0.7208758214552261,0.009456680277761765,0.18584511545636617,2.249
99,99,0.5242072774022967,0.0009727127401646551,1.7338371699169581,0.6942362367509223,0.009642444513533006,0.18223364075889606,2.25
51,51,0.5606078454243116,0.0009679265723255188,2.0916572410716263,0.6505268036349624,0.009135370403462304,0.1878896851747741,2.254
74,74,0.5697825243042794,0.0010986759102548237,2.0602713886427932,0.6714635669173158,0.009166528681070296,0.18534593280367542,2.266
13,13,0.44756000465321705,0.0011789055170051692,2.0466112686371734,0.7431734784439166,0.009685295743059597,0.2047386076454506,2.267
94,94,0.47203057103620183,0.0012621060583385215,1.8425546694670372,0.6397292481791126,0.009622540907464946,0.19617364686891992,2.277
25,25,0.5571645184897843,0.0009989584563924445,1.7217622120652107,0.6650426272982589,0.009395222706458772,0.17765286353248924,2.28
48,48,0.4780699805675041,0.0011455390804858772,2.0342222242108563,0.6783968516019467,0.009533759477999044,0.2023300800694188,2.282
33,33,0.4746425330011522,0.0012366245563480301,2.069353447697684,0.7070788375242025,0.009383992699605409,0.2035861897205678,2.284
95,95,0.5423748564108636,0.0010407729181892713,2.0123036429047456,0.6764283732923542,0.009191828854701479,0.19089371039979788,2.294
81,81,0.5073666742318119,0.001014539240960354,1.8244336027173158,0.7767094970485275,0.008982290077515139,0.18884301936902578,2.299
43,43,0.5380452870485248,0.001047707798348899,1.8899566770167788,0.7661270587406809,0.009317527377684572,0.1876291220002344,2.317
83,83,0.5162973409627752,0.001076850027433719,1.7514157295892163,0.5909751484328531,0.009004190408935783,0.18991346950788346,2.349
