,set,mu,qs,mu_max,X_max,Ks,Ks_qs,Ki,Yxs,qs_max,m_s,lag,rmse
1393,87,0,1,0.28013406295631194,22.28471272156161,8.747727204617666,0.07964493076422077,7.706787448424338,0.45421639675718717,1.4258132704323536,0.08435646342028714,0.0046746541828351345,246115.483
1378,86,0,2,0.3708908065261071,23.131548168171513,1.3385398609035366,0.023083657247932286,6.107980390165727,0.4818034168081719,1.4146242135339424,0.12561189909441567,0.012387309772987267,248099.704
1249,78,0,1,0.1753551056792899,21.978858819173087,8.257510745293768,0.015931334272908944,7.116624367970379,0.4305072118548429,1.1109465899082296,0.07427279607626323,0.010417586077450268,252009.96
1105,69,0,1,0.39836934074518376,18.27358419611818,7.252738392709488,0.04226808570723856,7.154722390611519,0.45687914182002753,1.2648738218603248,0.0788188970145605,0.003196748454071391,276761.779
1010,63,0,2,0.22171852090561722,24.920373980115784,0.22065104522231405,0.03922257357591121,6.649950147704502,0.4647641995972139,1.4314862622022129,0.13162477551914242,0.009953054408788516,280371.485
274,17,0,2,0.49410274044820085,21.292770564129782,3.3012440293307215,0.04367886200668577,6.871068765780696,0.4483722213277301,1.447772678066867,0.14484045243865187,0.00948926278886367,324203.992
1520,95,0,0,0.02207797039010042,20.30825408966848,2.959771565946245,0.06969461998932759,6.416049732199602,0.4875972270719692,1.4578086211067331,0.053627082495931205,0.01129942063125709,334041.083
1522,95,0,2,0.02207797039010042,20.30825408966848,2.959771565946245,0.06969461998932759,6.416049732199602,0.4875972270719692,1.4578086211067331,0.053627082495931205,0.01129942063125709,334399.389
1523,95,0,3,0.02207797039010042,20.30825408966848,2.959771565946245,0.06969461998932759,6.416049732199602,0.4875972270719692,1.4578086211067331,0.053627082495931205,0.01129942063125709,347932.349
1538,96,0,2,0.14517618233385732,22.92865738254659,7.925164066969916,0.06428980716201681,7.587176704508888,0.43300765134093083,1.4640069390013197,0.14594421125718166,0.01701156880197389,359644.684
1536,96,0,0,0.14517618233385732,22.92865738254659,7.925164066969916,0.06428980716201681,7.587176704508888,0.43300765134093083,1.4640069390013197,0.14594421125718166,0.01701156880197389,439272.955
1521,95,0,1,0.02207797039010042,20.30825408966848,2.959771565946245,0.06969461998932759,6.416049732199602,0.4875972270719692,1.4578086211067331,0.053627082495931205,0.01129942063125709,440466.819
674,42,0,2,0.3852742735487536,23.219389365669628,6.325397239669759,0.03786833908630592,7.241786518771585,0.4284569827196929,1.4804963486834484,0.08774473419693941,0.002535408542488949,450443.435
1186,74,0,2,0.09776721218315017,24.365732810740806,9.439838314098699,0.013735133964674512,7.280767948405075,0.4718401616743991,1.4766641619734413,0.08375480112971644,0.013732162083585998,461967.59
1539,96,0,3,0.14517618233385732,22.92865738254659,7.925164066969916,0.06428980716201681,7.587176704508888,0.43300765134093083,1.4640069390013197,0.14594421125718166,0.01701156880197389,466201.42
1136,71,0,0,0.22416289026236594,22.861348318611135,1.882773198091111,0.06857020348254239,6.811617524736422,0.4399801625051138,1.4987565772483682,0.0978065747651699,0.019477806142708817,484265.321
1138,71,0,2,0.22416289026236594,22.861348318611135,1.882773198091111,0.06857020348254239,6.811617524736422,0.4399801625051138,1.4987565772483682,0.0978065747651699,0.019477806142708817,495820.815
