Date;Time;Feed 1 Setpoint (%)
Jul 13, 2023;9:48:30 AM;0,90
Jul 13, 2023;9:48:40 AM;0,90
Jul 13, 2023;9:48:50 AM;0,90
Jul 13, 2023;9:49:00 AM;0,90
Jul 13, 2023;9:49:10 AM;0,90
Jul 13, 2023;9:49:20 AM;0,90
Jul 13, 2023;9:49:30 AM;0,90
Jul 13, 2023;9:49:40 AM;0,90
Jul 13, 2023;9:49:50 AM;0,90
Jul 13, 2023;9:50:00 AM;0,90
Jul 13, 2023;9:50:10 AM;0,90
Jul 13, 2023;9:50:20 AM;0,90
Jul 13, 2023;9:50:30 AM;0,90
Jul 13, 2023;9:50:40 AM;0,90
Jul 13, 2023;9:50:50 AM;0,90
Jul 13, 2023;9:51:00 AM;0,90
Jul 13, 2023;9:51:10 AM;0,90
Jul 13, 2023;9:51:20 AM;0,90
Jul 13, 2023;9:51:30 AM;0,90
Jul 13, 2023;9:51:40 AM;0,90
Jul 13, 2023;9:51:50 AM;0,90
Jul 13, 2023;9:52:00 AM;0,90
Jul 13, 2023;9:52:10 AM;0,90
Jul 13, 2023;9:52:20 AM;0,90
Jul 13, 2023;9:52:30 AM;0,90
Jul 13, 2023;9:52:40 AM;0,90
Jul 13, 2023;9:52:50 AM;0,90
Jul 13, 2023;9:53:00 AM;0,90
Jul 13, 2023;9:53:10 AM;0,90
Jul 13, 2023;9:53:20 AM;0,90
Jul 13, 2023;9:53:30 AM;0,90
Jul 13, 2023;9:53:40 AM;0,90
Jul 13, 2023;9:53:50 AM;0,90
Jul 13, 2023;9:54:00 AM;0,90
Jul 13, 2023;9:54:10 AM;0,90
Jul 13, 2023;9:54:20 AM;0,90
Jul 13, 2023;9:54:30 AM;0,90
Jul 13, 2023;9:54:40 AM;0,90
Jul 13, 2023;9:54:50 AM;0,90
Jul 13, 2023;9:55:00 AM;0,90
Jul 13, 2023;9:55:10 AM;0,90
Jul 13, 2023;9:55:20 AM;0,90
Jul 13, 2023;9:55:30 AM;0,91
Jul 13, 2023;9:55:40 AM;0,91
Jul 13, 2023;9:55:50 AM;0,91
Jul 13, 2023;9:56:00 AM;0,91
Jul 13, 2023;9:56:10 AM;0,91
Jul 13, 2023;9:56:20 AM;0,91
Jul 13, 2023;9:56:30 AM;0,91
Jul 13, 2023;9:56:40 AM;0,91
Jul 13, 2023;9:56:50 AM;0,91
Jul 13, 2023;9:57:00 AM;0,91
Jul 13, 2023;9:57:10 AM;0,91
Jul 13, 2023;9:57:20 AM;0,91
Jul 13, 2023;9:57:30 AM;0,91
Jul 13, 2023;9:57:40 AM;0,91
Jul 13, 2023;9:57:50 AM;0,91
Jul 13, 2023;9:58:00 AM;0,91
Jul 13, 2023;9:58:10 AM;0,91
Jul 13, 2023;9:58:21 AM;0,91
Jul 13, 2023;9:58:30 AM;0,91
Jul 13, 2023;9:58:41 AM;0,91
Jul 13, 2023;9:58:50 AM;0,91
Jul 13, 2023;9:59:01 AM;0,91
Jul 13, 2023;9:59:10 AM;0,91
Jul 13, 2023;9:59:21 AM;0,91
Jul 13, 2023;9:59:30 AM;0,91
Jul 13, 2023;9:59:41 AM;0,91
Jul 13, 2023;9:59:50 AM;0,91
Jul 13, 2023;10:00:01 AM;0,91
Jul 13, 2023;10:00:10 AM;0,91
Jul 13, 2023;10:00:21 AM;0,91
Jul 13, 2023;10:00:31 AM;0,91
Jul 13, 2023;10:00:41 AM;0,91
Jul 13, 2023;10:00:51 AM;0,91
Jul 13, 2023;10:01:01 AM;0,91
Jul 13, 2023;10:01:11 AM;0,91
Jul 13, 2023;10:01:21 AM;0,91
Jul 13, 2023;10:01:31 AM;0,91
Jul 13, 2023;10:01:41 AM;0,91
Jul 13, 2023;10:01:51 AM;0,91
Jul 13, 2023;10:02:01 AM;0,91
Jul 13, 2023;10:02:11 AM;0,91
Jul 13, 2023;10:02:21 AM;0,91
Jul 13, 2023;10:02:31 AM;0,91
Jul 13, 2023;10:02:41 AM;0,91
Jul 13, 2023;10:02:51 AM;0,91
Jul 13, 2023;10:03:01 AM;0,91
Jul 13, 2023;10:03:11 AM;0,91
Jul 13, 2023;10:03:21 AM;0,91
Jul 13, 2023;10:03:31 AM;0,91
Jul 13, 2023;10:03:41 AM;0,91
Jul 13, 2023;10:03:51 AM;0,91
Jul 13, 2023;10:04:01 AM;0,91
Jul 13, 2023;10:04:11 AM;0,91
Jul 13, 2023;10:04:21 AM;0,91
Jul 13, 2023;10:04:31 AM;0,91
Jul 13, 2023;10:04:41 AM;0,91
Jul 13, 2023;10:04:51 AM;0,91
Jul 13, 2023;10:05:01 AM;0,91
Jul 13, 2023;10:05:11 AM;0,91
Jul 13, 2023;10:05:21 AM;0,91
Jul 13, 2023;10:05:31 AM;0,91
Jul 13, 2023;10:05:41 AM;0,91
Jul 13, 2023;10:05:51 AM;0,91
Jul 13, 2023;10:06:01 AM;0,91
Jul 13, 2023;10:06:11 AM;0,91
Jul 13, 2023;10:06:21 AM;0,91
Jul 13, 2023;10:06:31 AM;0,91
Jul 13, 2023;10:06:41 AM;0,91
Jul 13, 2023;10:06:51 AM;0,91
Jul 13, 2023;10:07:01 AM;0,91
Jul 13, 2023;10:07:11 AM;0,91
Jul 13, 2023;10:07:21 AM;0,91
Jul 13, 2023;10:07:31 AM;0,91
Jul 13, 2023;10:07:41 AM;0,91
Jul 13, 2023;10:07:51 AM;0,91
Jul 13, 2023;10:08:01 AM;0,91
Jul 13, 2023;10:08:11 AM;0,91
Jul 13, 2023;10:08:21 AM;0,91
Jul 13, 2023;10:08:31 AM;0,91
Jul 13, 2023;10:08:41 AM;0,92
Jul 13, 2023;10:08:51 AM;0,92
Jul 13, 2023;10:09:01 AM;0,92
Jul 13, 2023;10:09:11 AM;0,92
Jul 13, 2023;10:09:21 AM;0,92
Jul 13, 2023;10:09:31 AM;0,92
Jul 13, 2023;10:09:41 AM;0,92
Jul 13, 2023;10:09:51 AM;0,92
Jul 13, 2023;10:10:01 AM;0,92
Jul 13, 2023;10:10:11 AM;0,92
Jul 13, 2023;10:10:21 AM;0,92
Jul 13, 2023;10:10:31 AM;0,92
Jul 13, 2023;10:10:41 AM;0,92
Jul 13, 2023;10:10:51 AM;0,92
Jul 13, 2023;10:11:01 AM;0,92
Jul 13, 2023;10:11:11 AM;0,92
Jul 13, 2023;10:11:21 AM;0,92
Jul 13, 2023;10:11:31 AM;0,92
Jul 13, 2023;10:11:41 AM;0,92
Jul 13, 2023;10:11:51 AM;0,92
Jul 13, 2023;10:12:01 AM;0,92
Jul 13, 2023;10:12:11 AM;0,92
Jul 13, 2023;10:12:21 AM;0,92
Jul 13, 2023;10:12:31 AM;0,92
Jul 13, 2023;10:12:41 AM;0,92
Jul 13, 2023;10:12:51 AM;0,92
Jul 13, 2023;10:13:01 AM;0,92
Jul 13, 2023;10:13:11 AM;0,92
Jul 13, 2023;10:13:21 AM;0,92
Jul 13, 2023;10:13:31 AM;0,92
Jul 13, 2023;10:13:41 AM;0,92
Jul 13, 2023;10:13:51 AM;0,92
Jul 13, 2023;10:14:01 AM;0,92
Jul 13, 2023;10:14:11 AM;0,92
Jul 13, 2023;10:14:21 AM;0,92
Jul 13, 2023;10:14:31 AM;0,92
Jul 13, 2023;10:14:41 AM;0,92
Jul 13, 2023;10:14:51 AM;0,92
Jul 13, 2023;10:15:01 AM;0,92
Jul 13, 2023;10:15:11 AM;0,92
Jul 13, 2023;10:15:21 AM;0,92
Jul 13, 2023;10:15:31 AM;0,92
Jul 13, 2023;10:15:41 AM;0,92
Jul 13, 2023;10:15:51 AM;0,92
Jul 13, 2023;10:16:01 AM;0,92
Jul 13, 2023;10:16:11 AM;0,92
Jul 13, 2023;10:16:21 AM;0,92
Jul 13, 2023;10:16:31 AM;0,92
Jul 13, 2023;10:16:41 AM;0,92
Jul 13, 2023;10:16:51 AM;0,92
Jul 13, 2023;10:17:01 AM;0,92
Jul 13, 2023;10:17:11 AM;0,92
Jul 13, 2023;10:17:21 AM;0,92
Jul 13, 2023;10:17:31 AM;0,92
Jul 13, 2023;10:17:41 AM;0,92
Jul 13, 2023;10:17:51 AM;0,92
Jul 13, 2023;10:18:01 AM;0,92
Jul 13, 2023;10:18:11 AM;0,92
Jul 13, 2023;10:18:21 AM;0,92
Jul 13, 2023;10:18:31 AM;0,92
Jul 13, 2023;10:18:41 AM;0,92
Jul 13, 2023;10:18:51 AM;0,92
Jul 13, 2023;10:19:01 AM;0,92
Jul 13, 2023;10:19:11 AM;0,92
Jul 13, 2023;10:19:21 AM;0,92
Jul 13, 2023;10:19:31 AM;0,92
Jul 13, 2023;10:19:41 AM;0,92
Jul 13, 2023;10:19:51 AM;0,92
Jul 13, 2023;10:20:01 AM;0,92
Jul 13, 2023;10:20:11 AM;0,92
Jul 13, 2023;10:20:21 AM;0,92
Jul 13, 2023;10:20:31 AM;0,92
Jul 13, 2023;10:20:41 AM;0,92
Jul 13, 2023;10:20:51 AM;0,92
Jul 13, 2023;10:21:01 AM;0,92
Jul 13, 2023;10:21:11 AM;0,92
Jul 13, 2023;10:21:21 AM;0,92
Jul 13, 2023;10:21:31 AM;0,92
Jul 13, 2023;10:21:41 AM;0,93
Jul 13, 2023;10:21:51 AM;0,93
Jul 13, 2023;10:22:01 AM;0,93
Jul 13, 2023;10:22:11 AM;0,93
Jul 13, 2023;10:22:21 AM;0,93
Jul 13, 2023;10:22:31 AM;0,93
Jul 13, 2023;10:22:41 AM;0,93
Jul 13, 2023;10:22:51 AM;0,93
Jul 13, 2023;10:23:01 AM;0,93
Jul 13, 2023;10:23:11 AM;0,93
Jul 13, 2023;10:23:21 AM;0,93
Jul 13, 2023;10:23:31 AM;0,93
Jul 13, 2023;10:23:41 AM;0,93
Jul 13, 2023;10:23:51 AM;0,93
Jul 13, 2023;10:24:01 AM;0,93
Jul 13, 2023;10:24:11 AM;0,93
Jul 13, 2023;10:24:21 AM;0,93
