Date;Time;Feed 1 Parameterstatus
Jun 2, 2023;8:36:23 AM;0
Jul 5, 2023;7:10:19 PM;1
Jul 6, 2023;1:24:17 PM;0
Jul 13, 2023;8:13:20 AM;1
Jul 13, 2023;8:14:46 AM;0
Jul 13, 2023;8:14:56 AM;1
Jul 13, 2023;8:15:23 AM;0
Jul 13, 2023;9:26:45 AM;1
Jul 13, 2023;9:27:42 AM;0
Jul 13, 2023;9:27:57 AM;1
Jul 13, 2023;5:00:18 PM;0
Jul 13, 2023;5:01:19 PM;1
Jul 14, 2023;7:51:20 AM;0
