,Acetic acid [g/L],Air feed [mL/min],Biomass [g/L],CER [%/L/h],Cum. Acid feed [L/min],Cum. Base feed [L/min],DO2 [%],DO2 [%]- smoothed,DateTime,Ethanol [g/L],Feed total [L/min],Glucose [g/L],Glucose feed [L/min],Glucose feed [g/h],Glycerol [g/L],Lactic acid [g/L],OUR [%/L/h],Offgas CO2 [%],Offgas CO2 [mL/min],Offgas N2 [%],Offgas N2 [mL/min],Offgas O2 [%],Offgas O2 [mL/min],Pump - Acid [L/min],Pump - Base [L/min],RQ,Stirrer [rpm],Stirring [rpm]- smoothed,T [°C]- smoothed,Temperature [°C],Volume [L],Yxs 1.1 [gx/gs],Yxs 1.2 [gx/gs],Yxs 2.1 [gx/gs],Yxs 2.2 [gx/gs],mu 1 [1/h],mu 2 [1/h],pH Value (pH),time [h]
855,,0.1,,0.02303851723317427,0.07180833333333331,0.07701433333333332,33.74888888888889,32.058482192061774,2023-06-01 00:30:00,,0.0001868027400860795,,0.0003313636363636364,6.958636363636365,,,-0.025090050171559512,0.3940993383206551,0.0003940993383206551,77.37950013273509,0.07737950013273509,20.792253250716897,0.020792253250716895,0.0,0.0,0.9182332070140405,430.04545454545456,426.37775512594374,29.855737835184264,29.85636363636364,1.0814207591500475,,,,,,,6.975,14.25
856,,0.1,,0.023010036176688134,0.07180833333333331,0.07701433333333332,29.05875,31.758508972855594,2023-06-01 00:31:00,,0.00018777243705577637,,0.0003323333333333333,6.978999999999999,,,-0.025079803644259907,0.3942197645384846,0.0003942197645384846,77.3801409198399,0.07738014091983991,20.79180151416364,0.020791801514163644,0.0,0.0,0.9174727403399952,424.7941666666666,426.21939628001604,29.854914051665844,29.8475,1.0816085315871034,,,,,,,6.97,14.27
857,,0.1,,0.022982100997723118,0.07180833333333331,0.07701433333333332,32.71,31.853658075570035,2023-06-01 00:32:00,,0.0001886057703891098,,0.0003331666666666667,6.996500000000001,,,-0.025115688360089285,0.3940990713544969,0.00039409907135449693,77.38139175057212,0.07738139175057213,20.790908352318073,0.020790908352318074,0.0,0.0,0.9150496163283902,428.2091666666667,426.4183733186811,29.853005979832588,29.83583333333333,1.0817971373574924,,,,,,,6.9625,14.28
858,,0.1,,0.022908109728960104,0.07180833333333331,0.07752716666666666,32.68375,31.936667268013032,2023-06-01 00:33:00,,0.0007023557703891097,,0.0003340833333333333,7.015749999999999,,,-0.025098381567484677,0.3936817700104627,0.00039368177001046273,77.38194729402396,0.07738194729402396,20.790380601294384,0.020790380601294386,0.0,0.0005128333333333333,0.9127325468124167,425.6575,426.34228598681295,29.85062204851599,29.829166666666666,1.0824994931278815,,,,,,,6.952222222222222,14.3
859,,0.1,,0.022896892889432897,0.07180833333333331,0.07803991666666667,31.987777777777776,31.941778318989503,2023-06-01 00:34:00,,0.0007031891037224431,,0.000335,7.035,,,-0.025027997752095243,0.3942344178278681,0.0003942344178278681,77.38160201041885,0.07738160201041885,20.790676245125685,0.020790676245125685,0.0,0.00051275,0.9148511645329703,423.8475,426.09280738813163,29.848976510331056,29.834166666666665,1.0832026822316039,,,,,,,6.96,14.32
860,,0.1,,0.022908331560597076,0.07180833333333331,0.07803991666666667,31.446666666666665,31.892267153757217,2023-06-01 00:35:00,,0.00019135577038910978,,0.0003359166666666667,7.054250000000001,,,-0.024968854973903255,0.3947228095893162,0.0003947228095893163,77.37997604341452,0.07737997604341451,20.79125470499852,0.02079125470499852,0.0,0.0,0.9174762553004621,427.8241666666667,426.2659433159851,29.848412192631287,29.843333333333334,1.083394038001993,,,,,,,6.9825,14.33
861,,0.1,,0.022856151549004177,0.07180833333333331,0.07803991666666667,34.44375,32.1474154383815,2023-06-01 00:36:00,,0.00019227243705577642,,0.00033683333333333335,7.0735,,,-0.0249339666092439,0.39447101999202067,0.00039447101999202065,77.37798851123812,0.07737798851123812,20.79118728637673,0.02079118728637673,0.0,0.0,0.9166672879288527,429.33272727272725,426.57262171165934,29.84802551882271,29.844545454545457,1.0835863104390488,,,,,,,6.99,14.35
862,,0.1,,0.022754067659065666,0.07180833333333331,0.07803991666666667,31.077777777777776,32.040451672321126,2023-06-01 00:37:00,,0.00019310577038910974,,0.00033766666666666667,7.091,,,-0.02493211569472539,0.39343993113349285,0.0003934399311334929,77.3817653348383,0.0773817653348383,20.790606560245614,0.020790606560245613,0.0,0.0,0.9126408660087957,424.1041666666667,426.32577620716006,29.846139633607105,29.829166666666666,1.0837794162094379,,,,,,,6.983750000000001,14.37
863,,0.1,,0.02266929122873005,0.07180833333333331,0.07803991666666667,31.44125,31.980531505089015,2023-06-01 00:38:00,,0.00019402243705577644,,0.00033858333333333337,7.110250000000001,,,-0.024891226954717897,0.39242856402083737,0.0003924285640208374,77.38288982851743,0.07738288982851743,20.790904144232265,0.020790904144232267,0.0,0.0,0.910734182367547,424.37416666666667,426.1306152531107,29.844275670246393,29.8275,1.0839734386464936,,,,,,,6.974444444444445,14.38
864,,0.1,,0.02260784193328788,0.07180833333333331,0.07803991666666667,31.89888888888889,31.972367243469005,2023-06-01 00:39:00,,0.00019489364917698858,,0.0003394545454545455,7.128545454545456,,,-0.02491533938005709,0.3920242949906693,0.00039202429499066936,77.38494377925754,0.07738494377925755,20.789918215446473,0.02078991821544647,0.0,0.0,0.9073864733861023,424.0741666666667,425.9249703944663,29.841181436555086,29.813333333333333,1.0841683322956708,,,,,,,6.96125,14.4
