,set,mu,qs,mu_max,X_max,Yxs,m_s,rmse
1,1,1,3,0.37086185795252363,15.623093931344275,0.3405403196643694,1.4293785618548218,25.389
17,17,1,3,0.32431612119606185,21.795539847895274,0.45825549894727086,1.018563626906932,25.515
14,14,1,3,0.41875085210779683,16.51127877508897,0.40736897777118897,1.3597178531804262,25.519
26,26,1,3,0.23826905847073215,20.79816616754986,0.33448292128278156,1.1751936976056019,25.615
37,37,1,3,0.32791873011689293,21.932589661862085,0.3314134041418589,0.9820953452438743,25.62
81,81,1,3,0.3034542025982532,16.66296721113915,0.4153378354992051,1.4490931897918309,25.633
8,8,1,3,0.42206247033748334,19.41497603944663,0.4170916756852865,1.1365439357128213,25.662
90,90,1,3,0.46722201403005204,19.345360240723302,0.373318271986405,1.1124356245668416,25.713
18,18,1,3,0.2915299169449786,18.00019597034154,0.4931539145867244,1.39221563938169,25.797
94,94,1,3,0.3580273200768031,21.627464623856937,0.471480208847666,1.0519832312718524,25.798
69,69,1,3,0.4326699908608598,19.940199810350073,0.3054376172105079,1.0768728480407286,25.855
60,60,1,3,0.25009904041233744,21.081403618998838,0.3789241832838702,1.2182276796972142,25.937
88,88,1,3,0.27847213956622086,23.383190724553764,0.47884478562845534,1.0358657473895105,25.954
66,66,1,3,0.2957642833617028,21.15969757826025,0.46591182381962654,1.1603344952684354,25.955
84,84,1,3,0.3820643493442535,18.884567093198193,0.3708815444483429,1.3346293806130822,26.009
96,96,1,3,0.42060811085137806,18.978431190247704,0.3297898571502994,1.2739103074860447,26.033
64,64,1,3,0.2396381755717651,22.61076095106887,0.4293397970322004,1.2990741108558872,26.055
80,80,1,3,0.2815745304924584,20.836003772938277,0.48107452117003924,1.3703869724256492,26.058
27,27,1,3,0.4400076128434767,23.778317413949686,0.3388385219375891,0.8729222174598016,26.067
30,30,1,3,0.49208493005205106,20.60257841319489,0.3178860112494597,1.0553800926028465,26.106
55,55,1,3,0.4977848736151147,23.299225281600144,0.42070799385452856,0.90949208660017,26.118
12,12,1,3,0.3653874598564113,20.388413916354867,0.4416320280464279,1.422903517337718,26.125
31,31,1,3,0.25441921055473293,23.47259375616233,0.403952261187291,1.2545291496884998,26.16
23,23,1,3,0.31870706211378913,24.97385747323377,0.41890647880550846,0.9204770493177422,26.17
52,52,1,3,0.391990284855371,21.287346233006698,0.46225837157302985,1.495765840051378,26.235
29,29,1,3,0.33415433406799344,22.74011345632622,0.47697152863076137,1.4776938192067424,26.301
63,63,1,3,0.49080729546379753,21.37101474401154,0.4619891153884153,1.2767112245420236,26.324
45,45,1,3,0.3471632071490687,23.665936557603395,0.4978706313141938,1.201856468254038,26.359
15,15,1,3,0.4654645440857301,22.37117606251863,0.4886090530926689,1.4652839136886913,26.421
91,91,1,3,0.3783849042196445,23.908297092409803,0.4394029212045225,1.341740297956754,26.45
82,82,1,3,0.47504431853398565,22.819523505443403,0.3026745390671379,1.2425897238983208,26.463
5,5,1,3,0.4108185122304866,24.743762207979195,0.358812156906066,1.4095717534302667,26.604
43,43,1,3,0.45524644343413834,24.597768326651803,0.3564058147147726,1.3195559818702252,26.641
