biomass (g/L);hours
0,694;0,2
1,310666667;2,1
1,542;2,3
2,459333333;3,4
3,236666667;4,4
3,712;5,35
4,633333333;6,35
4,986666667;7,3
5,348666667;8,3
5,551333333;9,3
8,571;21,3
9,248;23,3
8,626666667;24,30
8,293333333;26,3
8,24;27,3
9,185333333;27,9
9,08;28,3
12,47733333;30,5
12,78666667;31,5
19,2;42
