Date;Time;Temperature Output
May 30, 2023;6:14:31 PM;23,51
May 30, 2023;6:14:36 PM;23,28
May 30, 2023;6:14:51 PM;23,43
May 30, 2023;6:14:56 PM;22,83
May 30, 2023;6:15:01 PM;22,85
May 30, 2023;6:15:11 PM;22,58
May 30, 2023;6:15:21 PM;21,88
May 30, 2023;6:15:31 PM;20,84
May 30, 2023;6:15:36 PM;21,46
May 30, 2023;6:15:46 PM;20,45
May 30, 2023;6:15:51 PM;19,96
May 30, 2023;6:15:56 PM;20,00
May 30, 2023;6:16:06 PM;19,15
May 30, 2023;6:16:11 PM;18,91
May 30, 2023;6:16:16 PM;18,38
May 30, 2023;6:16:36 PM;17,87
May 30, 2023;6:16:41 PM;17,18
May 30, 2023;6:16:46 PM;16,52
May 30, 2023;6:16:51 PM;16,44
May 30, 2023;6:17:01 PM;15,81
May 30, 2023;6:17:11 PM;15,42
May 30, 2023;6:17:16 PM;15,13
May 30, 2023;6:17:31 PM;13,52
May 30, 2023;6:17:36 PM;13,67
May 30, 2023;6:17:46 PM;12,98
May 30, 2023;6:17:56 PM;12,23
May 30, 2023;6:18:01 PM;12,23
May 30, 2023;6:18:06 PM;11,77
May 30, 2023;6:18:26 PM;10,50
May 30, 2023;6:18:51 PM;7,88
May 30, 2023;6:19:01 PM;8,29
May 30, 2023;6:19:06 PM;7,40
May 30, 2023;6:19:26 PM;5,80
May 30, 2023;6:19:36 PM;5,07
May 30, 2023;6:19:41 PM;4,30
May 30, 2023;6:19:46 PM;3,98
May 30, 2023;6:20:01 PM;3,80
May 30, 2023;6:20:16 PM;2,66
May 30, 2023;6:20:21 PM;2,15
May 30, 2023;6:20:27 PM;0,00
May 30, 2023;6:21:06 PM;-0,45
May 30, 2023;6:21:11 PM;-1,36
May 30, 2023;6:21:26 PM;-3,36
May 30, 2023;6:21:31 PM;-3,41
May 30, 2023;6:21:36 PM;-3,94
May 30, 2023;6:21:41 PM;-3,86
May 30, 2023;6:21:52 PM;-5,30
May 30, 2023;6:22:01 PM;-4,66
May 30, 2023;6:22:11 PM;-6,03
May 30, 2023;6:22:21 PM;-6,33
May 30, 2023;6:22:26 PM;-6,18
May 30, 2023;6:22:36 PM;-6,46
May 30, 2023;6:22:42 PM;-6,93
May 30, 2023;6:22:51 PM;-7,19
May 30, 2023;6:22:56 PM;-6,67
May 30, 2023;6:23:06 PM;-8,00
May 30, 2023;6:23:11 PM;-7,42
May 30, 2023;6:23:17 PM;-7,91
May 30, 2023;6:23:26 PM;-7,75
May 30, 2023;6:23:36 PM;-7,84
May 30, 2023;6:23:56 PM;-8,45
May 30, 2023;6:24:01 PM;-8,44
May 30, 2023;6:24:06 PM;-8,67
May 30, 2023;6:24:11 PM;-8,31
May 30, 2023;6:24:21 PM;-8,18
May 30, 2023;6:24:36 PM;-8,84
May 30, 2023;6:24:46 PM;-8,23
May 30, 2023;6:24:56 PM;-8,36
May 30, 2023;6:25:01 PM;-8,26
May 30, 2023;6:25:06 PM;-7,98
May 30, 2023;6:25:16 PM;-7,79
May 30, 2023;6:25:26 PM;-7,27
May 30, 2023;6:25:31 PM;-7,79
May 30, 2023;6:25:36 PM;-7,85
May 30, 2023;6:25:46 PM;-7,59
May 30, 2023;6:25:56 PM;-6,84
May 30, 2023;6:26:21 PM;-5,77
May 30, 2023;6:26:27 PM;-5,77
May 30, 2023;6:26:36 PM;-5,14
May 30, 2023;6:26:46 PM;-4,74
May 30, 2023;6:26:56 PM;-4,74
May 30, 2023;6:27:12 PM;-4,51
May 30, 2023;6:27:22 PM;-3,38
May 30, 2023;6:27:31 PM;-3,05
May 30, 2023;6:27:51 PM;-2,65
May 30, 2023;6:28:01 PM;-2,28
May 30, 2023;6:28:06 PM;0,00
May 30, 2023;6:28:41 PM;0,56
May 30, 2023;6:29:11 PM;2,64
May 30, 2023;6:29:21 PM;3,55
May 30, 2023;6:29:31 PM;4,42
May 30, 2023;6:29:41 PM;4,65
May 30, 2023;6:29:46 PM;4,21
May 30, 2023;6:29:51 PM;5,30
May 30, 2023;6:30:06 PM;5,82
May 30, 2023;6:30:11 PM;5,04
May 30, 2023;6:30:27 PM;6,12
May 30, 2023;6:30:36 PM;6,47
May 30, 2023;6:30:41 PM;7,16
May 30, 2023;6:30:52 PM;6,83
May 30, 2023;6:31:01 PM;7,25
May 30, 2023;6:31:11 PM;7,32
May 30, 2023;6:31:21 PM;7,69
May 30, 2023;6:31:26 PM;7,92
May 30, 2023;6:31:31 PM;7,87
May 30, 2023;6:31:36 PM;8,43
May 30, 2023;6:31:41 PM;7,46
May 30, 2023;6:31:51 PM;8,80
May 30, 2023;6:31:56 PM;8,47
May 30, 2023;6:32:01 PM;8,82
May 30, 2023;6:32:06 PM;8,29
May 30, 2023;6:32:16 PM;8,82
May 30, 2023;6:32:21 PM;8,44
May 30, 2023;6:32:26 PM;9,27
May 30, 2023;6:32:42 PM;8,91
May 30, 2023;6:33:07 PM;9,01
May 30, 2023;6:33:16 PM;8,91
May 30, 2023;6:33:21 PM;8,73
May 30, 2023;6:33:31 PM;9,15
May 30, 2023;6:33:37 PM;9,02
May 30, 2023;6:33:51 PM;9,46
May 30, 2023;6:33:56 PM;9,10
May 30, 2023;6:34:01 PM;9,69
May 30, 2023;6:34:07 PM;9,11
May 30, 2023;6:34:26 PM;9,65
May 30, 2023;6:34:41 PM;9,54
May 30, 2023;6:34:51 PM;9,51
May 30, 2023;6:35:01 PM;9,22
May 30, 2023;6:35:06 PM;9,04
May 30, 2023;6:35:11 PM;9,67
May 30, 2023;6:35:26 PM;9,28
May 30, 2023;6:35:31 PM;9,92
May 30, 2023;6:35:46 PM;9,66
May 30, 2023;6:35:51 PM;9,41
May 30, 2023;6:35:56 PM;9,06
May 30, 2023;6:36:02 PM;8,57
May 30, 2023;6:36:11 PM;9,40
May 30, 2023;6:36:16 PM;8,73
May 30, 2023;6:36:21 PM;8,67
May 30, 2023;6:36:36 PM;9,00
May 30, 2023;6:36:41 PM;8,96
May 30, 2023;6:36:46 PM;8,67
May 30, 2023;6:36:51 PM;8,93
May 30, 2023;6:36:57 PM;8,19
May 30, 2023;6:37:11 PM;8,38
May 30, 2023;6:37:21 PM;7,67
May 30, 2023;6:37:26 PM;8,14
May 30, 2023;6:37:36 PM;8,14
May 30, 2023;6:37:46 PM;8,04
May 30, 2023;6:37:51 PM;7,58
May 30, 2023;6:38:01 PM;7,80
May 30, 2023;6:38:06 PM;7,14
May 30, 2023;6:38:11 PM;7,34
May 30, 2023;6:38:16 PM;7,19
May 30, 2023;6:38:21 PM;7,26
May 30, 2023;6:38:31 PM;6,84
May 30, 2023;6:38:36 PM;7,32
May 30, 2023;6:38:47 PM;5,75
May 30, 2023;6:38:56 PM;6,66
May 30, 2023;6:39:06 PM;6,42
May 30, 2023;6:39:11 PM;5,70
May 30, 2023;6:39:21 PM;5,83
May 30, 2023;6:39:31 PM;5,30
May 30, 2023;6:39:41 PM;6,14
May 30, 2023;6:39:46 PM;5,35
